17802,17802,17802,186,0,0.0
17802,17802,17802,10,0,0.0
17801,17801,17801,4,-4,-4.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17802,17802,17802,10,10,10.0
17802,17802,17802,6,0,0.0
17801,17801,17801,2,-2,-2.0
17801,17801,17801,2,0,0.0
17803,17803,17803,2,2,2.0
17803,17803,17803,2,0,0.0
17803,17803,17803,2,0,0.0
17803,17803,17803,2,0,0.0
17803,17803,17803,2,0,0.0
17804,17804,17804,2,2,2.0
17804,17804,17804,2,0,0.0
17804,17804,17804,4,0,0.0
17805,17805,17805,4,4,4.0
17801,17801,17801,2,-2,-2.0
17802,17802,17802,2,2,2.0
17804,17804,17804,4,4,4.0
17802,17802,17802,2,-2,-2.0
17801,17801,17801,2,-2,-2.0
17803,17803,17803,4,4,4.0
17803,17803,17803,6,0,0.0
17802,17802,17802,2,-2,-2.0
17801,17801,17801,2,-2,-2.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17803,17803,17803,2,2,2.0
17803,17803,17803,2,0,0.0
17803,17803,17803,2,0,0.0
17801,17801,17801,2,-2,-2.0
17801,17801,17801,2,0,0.0
17803,17803,17803,2,2,2.0
17801,17801,17801,2,-2,-2.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17802,17802,17802,2,2,2.0
17801,17801,17801,2,-2,-2.0
17801,17801,17801,2,0,0.0
17801,17801,17801,16,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,2,0,0.0
17801,17801,17801,4,0,0.0
17800,17800,17800,4,-4,-4.0
17800,17800,17800,6,0,0.0
17800,17800,17800,4,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,2,0,0.0
17800,17800,17800,4,0,0.0
17801,17801,17801,2,2,2.0
17800,17800,17800,2,-2,-2.0
17799,17799,17799,2,-2,-2.0
17799,17799,17799,2,0,0.0
17799,17799,17799,4,0,0.0
17799,17799,17799,4,0,0.0
17799,17799,17799,2,0,0.0
17799,17799,17799,2,0,0.0
17798,17798,17798,2,-2,-2.0
17798,17798,17798,2,0,0.0
17798,17798,17798,2,0,0.0
17797,17797,17797,2,-2,-2.0
17797,17797,17797,2,0,0.0
17797,17797,17797,2,0,0.0
17797,17797,17797,2,0,0.0
17798,17798,17798,2,2,2.0
17797,17797,17797,2,-2,-2.0
17797,17797,17797,4,0,0.0
17797,17797,17797,4,0,0.0
17797,17797,17797,4,0,0.0
17797,17797,17797,2,0,0.0
17797,17797,17797,2,0,0.0
17796,17796,17796,2,-2,-2.0
17796,17796,17796,6,0,0.0
17796,17796,17796,2,0,0.0
17796,17796,17796,2,0,0.0
17798,17798,17798,2,2,2.0
17796,17796,17796,2,-2,-2.0
17797,17797,17797,2,2,2.0
17796,17796,17796,2,-2,-2.0
17796,17796,17796,2,0,0.0
17796,17796,17796,4,0,0.0
17796,17796,17796,2,0,0.0
17796,17796,17796,2,0,0.0
17795,17795,17795,4,-4,-4.0
17795,17795,17795,2,0,0.0
17795,17795,17795,10,0,0.0
17795,17795,17795,2,0,0.0
17795,17795,17795,2,0,0.0
17794,17794,17794,2,-2,-2.0
17795,17795,17795,12,12,12.0
17795,17795,17795,20,0,0.0
17795,17795,17795,2,0,0.0
17795,17795,17795,2,0,0.0
17795,17795,17795,2,0,0.0
17796,17796,17796,6,6,6.0
17795,17795,17795,2,-2,-2.0
17796,17796,17796,8,8,8.0
17796,17796,17796,6,0,0.0
17795,17795,17795,4,-4,-4.0
