2025-05-02 08:59:00,20552,1,2025-05-02 09:00:00,20540,-1
2025-05-02 09:12:00,20548,1,2025-05-02 09:18:00,20542,-1
2025-05-02 10:29:00,20599,1,2025-05-02 10:34:00,20611,-1
2025-05-02 12:10:00,20679,1,2025-05-02 12:16:00,20666,-1
2025-05-02 12:43:00,20650,1,2025-05-02 12:47:00,20660,-1
2025-05-02 12:58:00,20672,1,2025-05-02 13:05:00,20680,-1
2025-05-02 12:59:00,20674,1,2025-05-02 13:05:00,20680,-1
2025-05-05 09:48:00,20324,1,2025-05-05 09:55:00,20319,-1
2025-05-05 11:21:00,20371,1,2025-05-05 11:25:00,20378,-1
2025-05-05 12:57:00,20410,1,2025-05-05 12:59:00,20405,-1
2025-05-06 09:14:00,20309,1,2025-05-06 09:22:00,20388,-1
2025-05-06 10:22:00,20389,1,2025-05-06 10:23:00,20391,-1
2025-05-06 10:49:00,20440,1,2025-05-06 10:56:00,20457,-1
2025-05-06 11:08:00,20411,1,2025-05-06 11:10:00,20403,-1
2025-05-06 12:06:00,20439,1,2025-05-06 12:09:00,20442,-1
2025-05-06 12:20:00,20425,1,2025-05-06 12:32:00,20421,-1
2025-05-06 12:53:00,20410,1,2025-05-06 12:59:00,20390,-1
2025-05-07 10:43:00,20333,1,2025-05-07 10:46:00,20333,-1
2025-05-07 11:01:00,20338,1,2025-05-07 11:06:00,20354,-1
2025-05-07 12:25:00,20394,1,2025-05-07 12:26:00,20393,-1
2025-05-07 12:31:00,20374,1,2025-05-07 12:35:00,20359,-1
2025-05-07 12:37:00,20353,1,2025-05-07 12:39:00,20341,-1
2025-05-07 13:40:00,20387,1,2025-05-07 13:41:00,20375,-1
2025-05-08 09:28:00,20545,1,2025-05-08 09:34:00,20548,-1
2025-05-08 11:49:00,20658,1,2025-05-08 11:56:00,20660,-1
2025-05-09 09:33:00,20642,1,2025-05-09 09:35:00,20623,-1
2025-05-09 09:36:00,20622,1,2025-05-09 09:47:00,20633,-1
2025-05-09 09:38:00,20621,1,2025-05-09 09:47:00,20633,-1
2025-05-09 10:02:00,20640,1,2025-05-09 10:11:00,20664,-1
2025-05-09 10:05:00,20640,1,2025-05-09 10:11:00,20664,-1
2025-05-09 10:58:00,20728,1,2025-05-09 11:03:00,20716,-1
2025-05-09 11:44:00,20763,1,2025-05-09 11:45:00,20779,-1
2025-05-09 12:05:00,20834,1,2025-05-09 12:11:00,20826,-1
2025-05-09 12:46:00,20834,1,2025-05-09 12:51:00,20821,-1
2025-05-12 10:43:00,21108,1,2025-05-12 10:46:00,21107,-1
2025-05-12 13:28:00,21058,1,2025-05-12 13:31:00,21061,-1
2025-05-12 13:32:00,21058,1,2025-05-12 13:33:00,21055,-1
2025-05-13 09:37:00,21465,1,2025-05-13 09:38:00,21461,-1
2025-05-13 09:39:00,21429,1,2025-05-13 09:43:00,21456,-1
2025-05-13 11:10:00,21319,1,2025-05-13 11:17:00,21324,-1
2025-05-13 12:13:00,21338,1,2025-05-13 12:14:00,21328,-1
2025-05-13 12:57:00,21336,1,2025-05-13 13:05:00,21355,-1
2025-05-15 09:21:00,21737,1,2025-05-15 09:22:00,21720,-1
2025-05-15 10:33:00,21767,1,2025-05-15 10:39:00,21751,-1
2025-05-15 11:45:00,21769,1,2025-05-15 11:49:00,21780,-1
2025-05-15 12:08:00,21772,1,2025-05-15 12:20:00,21766,-1
2025-05-15 12:10:00,21765,1,2025-05-15 12:20:00,21766,-1
2025-05-15 12:22:00,21765,1,2025-05-15 12:23:00,21766,-1
2025-05-15 13:04:00,21749,1,2025-05-15 13:06:00,21753,-1
2025-05-15 13:18:00,21750,1,2025-05-15 13:25:00,21725,-1
2025-05-15 13:23:00,21718,1,2025-05-15 13:25:00,21725,-1
2025-05-16 09:19:00,21716,1,2025-05-16 09:26:00,21724,-1
2025-05-16 11:10:00,21826,1,2025-05-16 11:24:00,21809,-1
2025-05-16 11:28:00,21801,1,2025-05-16 11:29:00,21802,-1
2025-05-16 12:38:00,21825,1,2025-05-16 12:39:00,21820,-1
2025-05-16 13:34:00,21837,1,2025-05-16 13:39:00,21822,-1
