2019-06-05,15:00:00.047000,10446,10447,10446,57
2019-06-05,15:00:00.123000,10446,10447,10447,4
2019-06-05,15:00:00.123000,10446,10447,10448,8
2019-06-05,15:00:00.123000,10446,10447,10449,8
2019-06-05,15:00:00.123000,10446,10447,10446,2
2019-06-05,15:00:00.142000,10446,10447,10449,10
2019-06-05,15:00:00.142000,10446,10447,10450,10
2019-06-05,15:00:00.372000,10446,10450,10446,9
2019-06-05,15:00:00.447000,10445,10446,10446,11
2019-06-05,15:00:00.650000,10445,10450,10449,1
2019-06-05,15:00:00.650000,10445,10450,10450,1
2019-06-05,15:00:00.742000,10446,10449,10450,2
2019-06-05,15:00:00.950000,10446,10450,10450,2
2019-06-05,15:00:01.116000,10446,10450,10446,2
2019-06-05,15:00:01.329000,10446,10448,10448,2
2019-06-05,15:00:01.363000,10446,10448,10446,2
2019-06-05,15:00:01.555000,10446,10448,10447,1
2019-06-05,15:00:01.574000,10446,10447,10446,1
2019-06-05,15:00:01.574000,10446,10447,10445,1
2019-06-05,15:00:01.961000,10445,10447,10447,1
2019-06-05,15:00:04.431000,10447,10448,10448,1
2019-06-05,15:00:05.555000,10448,10449,10449,2
2019-06-05,15:00:05.962000,10448,10449,10449,1
2019-06-05,15:00:06.780000,10448,10449,10449,1
2019-06-05,15:00:06.993000,10448,10450,10448,5
2019-06-05,15:00:08.315000,10449,10450,10449,3
2019-06-05,15:00:08.803000,10449,10450,10450,1
2019-06-05,15:00:12.321000,10449,10450,10449,1
2019-06-05,15:00:13.631000,10449,10450,10450,1
2019-06-05,15:00:14.023000,10449,10450,10450,1
2019-06-05,15:00:15.854000,10449,10450,10450,2
2019-06-05,15:00:16.071000,10450,10451,10451,1
2019-06-05,15:00:16.966000,10450,10451,10450,3
2019-06-05,15:00:20.440000,10450,10451,10451,1
2019-06-05,15:00:22.669000,10450,10451,10450,2
2019-06-05,15:00:23.057000,10450,10451,10451,1
2019-06-05,15:00:23.572000,10450,10451,10451,3
2019-06-05,15:00:24.198000,10450,10451,10450,1
2019-06-05,15:00:25.406000,10450,10451,10451,1
2019-06-05,15:00:25.997000,10450,10451,10450,20
2019-06-05,15:00:26.176000,10449,10450,10450,5
2019-06-05,15:00:27.648000,10449,10450,10449,1
2019-06-05,15:00:29.473000,10449,10450,10449,1
2019-06-05,15:00:30.897000,10449,10450,10449,1
2019-06-05,15:00:30.897000,10449,10450,10449,3
2019-06-05,15:00:30.897000,10449,10450,10449,2
2019-06-05,15:00:30.897000,10449,10450,10449,2
2019-06-05,15:00:30.898000,10449,10450,10449,1
2019-06-05,15:00:30.912000,10449,10450,10449,2
2019-06-05,15:00:31.417000,10448,10449,10448,1
2019-06-05,15:00:33.464000,10448,10449,10449,5
2019-06-05,15:00:34.927000,10448,10449,10448,1
2019-06-05,15:00:37.142000,10448,10449,10448,2
2019-06-05,15:00:37.977000,10448,10449,10448,2
2019-06-05,15:00:39.601000,10447,10448,10447,4
2019-06-05,15:00:40.157000,10447,10448,10447,3
2019-06-05,15:00:40.255000,10447,10448,10448,1
2019-06-05,15:00:40.943000,10447,10448,10448,10
2019-06-05,15:00:48.115000,10447,10448,10448,1
2019-06-05,15:00:48.571000,10447,10448,10448,1
2019-06-05,15:00:49.975000,10448,10449,10448,1
2019-06-05,15:00:50.395000,10448,10449,10448,16
2019-06-05,15:00:56.379000,10447,10448,10447,1
2019-06-05,15:00:58.335000,10447,10448,10448,10
2019-06-05,15:00:58.896000,10447,10448,10448,2
2019-06-05,15:00:59.743000,10447,10448,10447,3
2019-06-05,15:00:59.753000,10447,10448,10447,2
2019-06-05,15:00:59.760000,10447,10448,10447,3
2019-06-05,15:00:59.849000,10447,10448,10447,2
